node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
1423,,-111.9262125,33.423981,4,2,
1424,,-111.9262123,33.4240445,4,2,
1425,,-111.9262122,33.4241081,4,2,
1426,,-111.9262121,33.4241716,4,2,
1427,,-111.926212,33.4242351,4,2,
1428,,-111.9262119,33.4242986,4,2,
1429,,-111.9262118,33.4243621,4,2,
1430,,-111.9262117,33.4244256,4,2,
1431,,-111.9262116,33.4244891,4,2,
1432,,-111.9262115,33.4245526,4,2,
1433,,-111.9262114,33.4246161,4,2,
1434,,-111.9262113,33.4246797,4,2,
1435,,-111.9262112,33.4247432,4,2,
1436,,-111.9262111,33.4248067,4,2,
1437,,-111.926211,33.4248702,4,2,
1438,,-111.9262109,33.4249337,4,2,
1439,,-111.9262108,33.4249972,4,2,
1440,,-111.9262106,33.4250607,4,2,
1441,,-111.9262105,33.4251242,4,2,
1442,,-111.9262104,33.4251878,4,2,
1443,,-111.9262103,33.4252513,4,2,
1444,,-111.9262102,33.4253148,4,2,
1445,,-111.9262101,33.4253783,4,2,
1446,,-111.92621,33.4254418,4,2,
1447,,-111.9262099,33.4255053,4,2,
1448,,-111.9262098,33.4255688,4,2,
1449,,-111.9262097,33.4256323,4,2,
1450,,-111.9262096,33.4256959,4,2,
1451,,-111.9262095,33.4257594,4,2,
1452,,-111.9262094,33.4258229,4,2,
1453,,-111.9262093,33.4258864,4,2,
1454,,-111.9262092,33.4259499,4,2,
1455,,-111.9262091,33.4260134,4,2,
1456,,-111.9262089,33.4260769,4,2,
1457,,-111.9262088,33.4261404,4,2,
1458,,-111.9262087,33.426204,4,2,
1459,,-111.9262086,33.4262675,4,2,
1460,,-111.9262085,33.426331,4,2,
1461,,-111.9262084,33.4263945,4,2,
1462,,-111.9262083,33.426458,4,2,
1463,,-111.9262082,33.4265215,4,2,
1464,,-111.9262081,33.426585,4,2,
1465,,-111.926208,33.4266485,4,2,
1466,,-111.9262079,33.4267121,4,2,
1467,,-111.9262078,33.4267756,4,2,
1468,,-111.9262077,33.4268391,4,2,
1469,,-111.9262076,33.4269026,4,2,
1470,,-111.9262075,33.4269661,4,2,
1471,,-111.9262073,33.4270296,4,2,
1472,,-111.9262072,33.4270931,4,2,
1473,,-111.9262071,33.4271566,4,2,
1474,,-111.926207,33.4272202,4,2,
1475,3,-111.9262069,33.4272837,4,2,
1476,,-111.9261779,33.4221391,4,3,
1477,,-111.9261778,33.4222026,4,3,
1478,,-111.9261777,33.4222661,4,3,
1479,,-111.9261776,33.4223297,4,3,
1480,,-111.9261775,33.4223932,4,3,
1481,,-111.9261774,33.4224567,4,3,
1482,,-111.9261773,33.4225202,4,3,
1483,,-111.9261771,33.4225837,4,3,
1484,,-111.926177,33.4226472,4,3,
1485,,-111.9261769,33.4227107,4,3,
1486,,-111.9261768,33.4227742,4,3,
1487,,-111.9261767,33.4228378,4,3,
1488,,-111.9261766,33.4229013,4,3,
1489,,-111.9261765,33.4229648,4,3,
1490,,-111.9261764,33.4230283,4,3,
1491,,-111.9261763,33.4230918,4,3,
1492,,-111.9261762,33.4231553,4,3,
1493,,-111.9261761,33.4232188,4,3,
1494,,-111.926176,33.4232823,4,3,
1495,,-111.9261759,33.4233459,4,3,
1496,,-111.9261758,33.4234094,4,3,
1497,,-111.9261757,33.4234729,4,3,
1498,,-111.9261756,33.4235364,4,3,
1499,,-111.9261754,33.4235999,4,3,
1500,,-111.9261753,33.4236634,4,3,
1501,,-111.9261752,33.4237269,4,3,
1502,,-111.9261751,33.4237904,4,3,
1503,,-111.926175,33.423854,4,3,
1504,,-111.9261749,33.4239175,4,3,
1505,,-111.9261748,33.423981,4,3,
1506,,-111.9261747,33.4240445,4,3,
1507,,-111.9261746,33.424108,4,3,
1508,,-111.9261745,33.4241715,4,3,
1509,,-111.9261744,33.424235,4,3,
1510,,-111.9261743,33.4242985,4,3,
1511,,-111.9261742,33.4243621,4,3,
1512,,-111.9261741,33.4244256,4,3,
1513,,-111.926174,33.4244891,4,3,
1514,,-111.9261738,33.4245526,4,3,
1515,,-111.9261737,33.4246161,4,3,
1516,,-111.9261736,33.4246796,4,3,
1517,,-111.9261735,33.4247431,4,3,
1518,,-111.9261734,33.4248066,4,3,
1519,,-111.9261733,33.4248702,4,3,
1520,,-111.9261732,33.4249337,4,3,
1521,,-111.9261731,33.4249972,4,3,
1522,,-111.926173,33.4250607,4,3,
1523,,-111.9261729,33.4251242,4,3,
1524,,-111.9261728,33.4251877,4,3,
1525,,-111.9261727,33.4252512,4,3,
1526,,-111.9261726,33.4253147,4,3,
1527,,-111.9261725,33.4253783,4,3,
1528,,-111.9261724,33.4254418,4,3,
1529,,-111.9261723,33.4255053,4,3,
1530,,-111.9261721,33.4255688,4,3,
1531,,-111.926172,33.4256323,4,3,
1532,,-111.9261719,33.4256958,4,3,
1533,,-111.9261718,33.4257593,4,3,
1534,,-111.9261717,33.4258228,4,3,
1535,,-111.9261716,33.4258864,4,3,
1536,,-111.9261715,33.4259499,4,3,
1537,,-111.9261714,33.4260134,4,3,
1538,,-111.9261713,33.4260769,4,3,
1539,,-111.9261712,33.4261404,4,3,
1540,,-111.9261711,33.4262039,4,3,
1541,,-111.926171,33.4262674,4,3,
1542,,-111.9261709,33.4263309,4,3,
1543,,-111.9261708,33.4263945,4,3,
1544,,-111.9261707,33.426458,4,3,
1545,,-111.9261705,33.4265215,4,3,
1546,,-111.9261704,33.426585,4,3,
1547,,-111.9261703,33.4266485,4,3,
1548,,-111.9261702,33.426712,4,3,
1549,,-111.9261701,33.4267755,4,3,
1550,,-111.92617,33.426839,4,3,
1551,,-111.9261699,33.4269026,4,3,
1552,,-111.9261698,33.4269661,4,3,
1553,,-111.9261697,33.4270296,4,3,
1554,,-111.9261696,33.4270931,4,3,
1555,,-111.9261695,33.4271566,4,3,
1556,,-111.9261694,33.4272201,4,3,
1557,3,-111.9261693,33.4272836,4,3,
1558,3,-111.9263199,33.4272838,5,1,
1559,,-111.92632,33.4272203,5,1,
1560,,-111.9263201,33.4271568,5,1,
1561,,-111.9263202,33.4270933,5,1,
1562,,-111.9263203,33.4270298,5,1,
1563,,-111.9263204,33.4269662,5,1,
1564,,-111.9263205,33.4269027,5,1,
1565,,-111.9263206,33.4268392,5,1,
1566,,-111.9263207,33.4267757,5,1,
1567,,-111.9263208,33.4267122,5,1,
1568,,-111.9263209,33.4266487,5,1,
1569,,-111.926321,33.4265852,5,1,
1570,,-111.9263211,33.4265217,5,1,
1571,,-111.9263213,33.4264581,5,1,
1572,,-111.9263214,33.4263946,5,1,
